Stromlo SLR Station: 7825            DAILY OPERATIONS REPORT for Day 94, 3 April 2020
__________________________________________________________________________________________________________________________________________________________

         Target    Start     Stop SCI Acq   SD    Shots     Total  Accepted Normal     Range   Range Accepted -Spider Cals--    Survey Time Bias      Note
           Name     Time     Time    Code Type    Fired     Range  No.Range Points   Obs(ns) RMS(ns) No. Cals SD(ns) RMS(ns) Error(mm)      (ms)
----------------------------------------------------------------------------------------------------------------------------------------------------------
STCABLE         01:24:15 01:31:30  0  1Z          20230     20230     19913      0    11.093   0.005        0    0.000 0.000                             

sentinel3a      00:08:52 00:19:29  0  3Z           7518         0         0      0             0.000        0    0.000 0.000                 0.0         
swarma          00:13:00 00:17:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
swarmc          00:13:00 00:17:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
jason2          00:14:00 00:25:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
starlette       00:21:53 00:36:00  0  3Z          12320         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo202      00:43:00 04:46:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
technosat       01:04:59 01:11:55  0  3Z            394         0         0      0             0.000        0    0.000 0.000                 0.0         
jason3          01:10:58 01:28:32  0  3Z           9478         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo203      01:21:00 06:33:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
starlette       02:15:00 02:26:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass135      02:28:00 05:47:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
larets          02:57:00 03:02:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
compassm3       03:12:00 05:55:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass136      03:46:00 05:27:00  0  5D              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lares           03:50:00 04:03:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass132      04:09:00 06:33:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
beidou3m3       00:17:27 05:46:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass131      01:13:44 06:15:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
glonass128      03:16:45 06:20:00  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo103      06:18:00 13:04:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
cryosat2        06:45:00 06:52:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
galileo215      06:57:00 13:20:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lageos2         06:45:57 07:51:04  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
stella          07:21:00 07:29:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
saral           07:32:00 07:40:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
kompsat5        07:50:00 07:55:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
lageos1         07:42:36 08:38:05  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
geoik2          07:54:20 08:06:01  0  3Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
jason2          08:10:00 08:21:00  0  5Z              0         0         0      0             0.000        0    0.000 0.000                 0.0         
